status, oldUrl,expectedUrl,reason, actualUrl
passed, https://ukplmigration.thomsonreuters.com/A12922 ,https://uk.practicallaw.thomsonreuters.com/2-101-1577, ,
passed, https://ukplmigration.thomsonreuters.com/A12929 ,https://uk.practicallaw.thomsonreuters.com/8-101-1584, ,
passed, https://ukplmigration.thomsonreuters.com/A1348 ,https://uk.practicallaw.thomsonreuters.com/9-100-1301, ,
passed, https://ukplmigration.thomsonreuters.com/A13600 ,https://uk.practicallaw.thomsonreuters.com/0-101-1781, ,
passed, https://ukplmigration.thomsonreuters.com/A13601 ,https://uk.practicallaw.thomsonreuters.com/8-101-1782, ,
passed, https://ukplmigration.thomsonreuters.com/A13627 ,https://uk.practicallaw.thomsonreuters.com/1-101-1808, ,
passed, https://ukplmigration.thomsonreuters.com/A13640 ,https://uk.practicallaw.thomsonreuters.com/4-101-1821, ,
passed, https://ukplmigration.thomsonreuters.com/A13663 ,https://uk.practicallaw.thomsonreuters.com/6-101-1844, ,
passed, https://ukplmigration.thomsonreuters.com/A13788 ,https://uk.practicallaw.thomsonreuters.com/1-101-1969, ,
passed, https://ukplmigration.thomsonreuters.com/A13794 ,https://uk.practicallaw.thomsonreuters.com/8-101-1975, ,
passed, https://ukplmigration.thomsonreuters.com/A13795 ,https://uk.practicallaw.thomsonreuters.com/6-101-1976, ,
passed, https://ukplmigration.thomsonreuters.com/A13883 ,https://uk.practicallaw.thomsonreuters.com/8-101-1980, ,
passed, https://ukplmigration.thomsonreuters.com/A13937 ,https://uk.practicallaw.thomsonreuters.com/9-101-2026, ,
passed, https://ukplmigration.thomsonreuters.com/A13955 ,https://uk.practicallaw.thomsonreuters.com/6-101-2037, ,
passed, https://ukplmigration.thomsonreuters.com/A13960 ,https://uk.practicallaw.thomsonreuters.com/6-101-2042, ,
passed, https://ukplmigration.thomsonreuters.com/A13989 ,https://uk.practicallaw.thomsonreuters.com/9-101-2050, ,
passed, https://ukplmigration.thomsonreuters.com/A14002 ,https://uk.practicallaw.thomsonreuters.com/2-101-2063, ,
passed, https://ukplmigration.thomsonreuters.com/A14008 ,https://uk.practicallaw.thomsonreuters.com/9-101-2639, ,
passed, https://ukplmigration.thomsonreuters.com/A14010 ,https://uk.practicallaw.thomsonreuters.com/7-101-2070, ,
