status, oldUrl, newUrl,failure, actual
passed,the user opens /A36126 on the old website,the user verifies resulting resource /5-107-5775,null,
passed,the user opens /A36127 on the old website,the user verifies resulting resource /3-107-5776,null,
passed,the user opens /a36129 on the old website,the user verifies resulting resource /9-107-5778,null,
passed,the user opens /A36134 on the old website,the user verifies resulting resource /9-107-5783,null,
failed,the user opens /A36136 on the old website,the user verifies resulting resource /4-107-5785,java.lang.AssertionError: Error except of document,
passed,the user opens /A36139 on the old website,the user verifies resulting resource /8-107-5788,null,
failed,the user opens /A36142 on the old website,the user verifies resulting resource /4-107-5790,java.lang.AssertionError: Error except of document,
passed,the user opens /A36143 on the old website,the user verifies resulting resource /2-107-5791,null,
passed,the user opens /A36145 on the old website,the user verifies resulting resource /0-107-5792,null,
passed,the user opens /A36152 on the old website,the user verifies resulting resource /5-107-5799,null,
passed,the user opens /A36153 on the old website,the user verifies resulting resource /0-107-6602,null,
passed,the user opens /A36154 on the old website,the user verifies resulting resource /8-107-6603,null,
passed,the user opens /A36158 on the old website,the user verifies resulting resource /9-107-6607,null,
passed,the user opens /A36160 on the old website,the user verifies resulting resource /5-107-6609,null,
passed,the user opens /A36171 on the old website,the user verifies resulting resource /6-107-6618,null,
passed,the user opens /A36175 on the old website,the user verifies resulting resource /8-107-6622,null,
passed,the user opens /A36180 on the old website,the user verifies resulting resource /4-107-6624,null,
passed,the user opens /a36187 on the old website,the user verifies resulting resource /9-107-6631,null,
passed,the user opens /A36190 on the old website,the user verifies resulting resource /3-107-6634,null,
passed,the user opens /A36191 on the old website,the user verifies resulting resource /0-107-6635,null,
passed,the user opens /A36196 on the old website,the user verifies resulting resource /0-107-6640,null,
passed,the user opens /A36199 on the old website,the user verifies resulting resource /4-107-6643,null,
passed,the user opens /A36200 on the old website,the user verifies resulting resource /2-107-6644,null,
passed,the user opens /A36204 on the old website,the user verifies resulting resource /5-107-6647,null,
passed,the user opens /A36205 on the old website,the user verifies resulting resource /3-107-6648,null,
passed,the user opens /A36209 on the old website,the user verifies resulting resource /5-107-6652,null,
passed,the user opens /A36215 on the old website,the user verifies resulting resource /2-107-6658,null,
passed,the user opens /A36216 on the old website,the user verifies resulting resource /0-107-6659,null,
passed,the user opens /A36218 on the old website,the user verifies resulting resource /6-107-6661,null,
passed,the user opens /A36220 on the old website,the user verifies resulting resource /2-107-6663,null,
passed,the user opens /A36221 on the old website,the user verifies resulting resource /0-107-6664,null,
passed,the user opens /A36225 on the old website,the user verifies resulting resource /1-107-6668,null,
passed,the user opens /A36227 on the old website,the user verifies resulting resource /7-107-6670,null,
passed,the user opens /A36230 on the old website,the user verifies resulting resource /1-107-6673,null,
passed,the user opens /A36232 on the old website,the user verifies resulting resource /6-107-6675,null,
passed,the user opens /A36233 on the old website,the user verifies resulting resource /4-107-6676,null,
passed,the user opens /A36234 on the old website,the user verifies resulting resource /2-107-6677,null,
passed,the user opens /A36236 on the old website,the user verifies resulting resource /8-107-6679,null,
passed,the user opens /A36238 on the old website,the user verifies resulting resource /4-107-6681,null,
passed,the user opens /A36240 on the old website,the user verifies resulting resource /0-107-6683,null,
passed,the user opens /A36243 on the old website,the user verifies resulting resource /3-107-6686,null,
passed,the user opens /A36248 on the old website,the user verifies resulting resource /3-107-6691,null,
passed,the user opens /A36255 on the old website,the user verifies resulting resource /0-107-6697,null,
